19.1794 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
86.9755 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
90.0668 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001645B67ACA0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001645CB116D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
90.0669 	EXP 	window1: mouseVisible = True
90.0671 	EXP 	window1: mouseVisible = False
90.0671 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
90.0671 	EXP 	window1: recordFrameIntervals = False
90.2329 	EXP 	window1: recordFrameIntervals = True
90.4167 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
90.4167 	EXP 	window1: recordFrameIntervals = False
132.3667 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
132.4799 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
132.5290 	EXP 	Imported C:/Users/Dell 3148/Desktop/New Microsoft Excel Worksheet.xlsx as conditions, 1 conditions, 5 params
133.5725 	EXP 	window1: recordFrameIntervals = False
133.6282 	DATA 	Keypress: right
133.6378 	EXP 	polygon: autoDraw = True
133.6380 	EXP 	window1: recordFrameIntervals = False
134.6727 	EXP 	grating: autoDraw = True
134.6727 	EXP 	grating: tex = 'sin'
134.6958 	EXP 	polygon: autoDraw = False
134.9798 	EXP 	grating: autoDraw = False
147.7860 	EXP 	window1: recordFrameIntervals = False
147.7871 	DATA 	Keypress: right
147.7955 	EXP 	polygon: autoDraw = False
147.7955 	EXP 	grating: autoDraw = False
147.7958 	EXP 	window1: recordFrameIntervals = False
148.7993 	EXP 	polygon: autoDraw = True
149.5362 	DATA 	Keypress: left
149.8006 	EXP 	polygon: autoDraw = False
149.8006 	EXP 	grating: autoDraw = True
149.8006 	EXP 	grating: tex = 'sin'
150.1008 	EXP 	grating: autoDraw = False
151.8198 	EXP 	window1: recordFrameIntervals = False
151.8209 	DATA 	Keypress: right
151.8346 	EXP 	polygon: autoDraw = False
151.8346 	EXP 	grating: autoDraw = False
151.8348 	EXP 	window1: recordFrameIntervals = False
152.8339 	EXP 	polygon: autoDraw = True
152.9550 	DATA 	Keypress: left
153.8190 	EXP 	grating: autoDraw = True
153.8190 	EXP 	grating: tex = 'sin'
153.8355 	EXP 	polygon: autoDraw = False
154.1198 	EXP 	grating: autoDraw = False
